Detector,  Theta,  Phi
1, 17.27465, 72
2, 17.27465, 216
3, 17.27465, 144
4, 17.27465, 288
5, 31.71747, 36
6, 17.27465, 360
7, 31.71747, 108
8, 31.71747, 252
9, 31.71747, 180
10, 31.71747, 324
11, 37.37737, 72
12, 37.37737, 216
13, 37.37737, 144
14, 37.37737, 288
15, 50.06504, 22.84
16, 37.37737, 360
17, 50.06504, 49.16
18, 50.06504, 193.16
19, 50.06504, 94.84
20, 50.06504, 238.84
21, 50.06504, 121.16
22, 50.06504, 265.16
23, 50.06504, 166.84
24, 50.06504, 310.84
25, 58.28253, 72
26, 50.06504, 337.16
27, 58.28253, 144
28, 58.28253, 216
29, 69.82033, 18.49
30, 58.28253, 288
31, 69.82033, 53.51
32, 58.28253, 360
33, 69.82033, 90.49
34, 69.82033, 197.51
35, 69.82033, 125.51
36, 69.82033, 234.49
37, 69.82033, 162.49
38, 69.82033, 269.51
39, 79.18768, 72
40, 69.82033, 306.49
41, 79.18768, 144
42, 69.82033, 341.51
43, 80.7096, 36
44, 79.18768, 216
45, 80.7096, 108
46, 79.18768, 288
47, 80.7096, 180
48, 79.18768, 360
49, 90, 18
50, 80.7096, 252
51, 90, 54
52, 80.7096, 324
53, 90, 90
54, 90, 198
55, 90, 126
56, 90, 234
57, 90, 162
58, 90, 270
59, 99.2904, 72
60, 90, 306
61, 99.2904, 144
62, 90, 342
63, 100.81232, 36
64, 99.2904, 216
65, 100.81232, 108
66, 99.2904, 288
67, 100.81232, 180
68, 99.2904, 360
69, 110.17967, 17.51
70, 100.81232, 252
71, 110.17967, 54.49
72, 100.81232, 324
73, 110.17967, 89.51
74, 110.17967, 198.49
75, 110.17967, 126.49
76, 110.17967, 233.51
77, 110.17967, 161.51
78, 110.17967, 270.49
79, 121.71747, 36
80, 110.17967, 305.51
81, 121.71747, 108
82, 110.17967, 342.49
83, 121.71747, 180
84, 121.71747, 252
85, 129.93496, 13.16
86, 121.71747, 324
87, 129.93496, 58.84
88, 129.93496, 202.84
89, 129.93496, 85.16
90, 129.93496, 229.16
91, 129.93496, 130.84
92, 129.93496, 274.84
93, 129.93496, 157.16
94, 129.93496, 301.16
95, 142.62263, 36
96, 129.93496, 346.84
97, 142.62263, 108
98, 142.62263, 252
99, 142.62263, 180
100, 142.62263, 324
101, 148.28253, 72
102, 148.28253, 216
103, 148.28253, 144
104, 148.28253, 288
105, 162.72535, 36
106, 148.28253, 360
107, 162.72535, 108
108, 162.72535, 252
109, 162.72535, 180
110, 162.72535, 324
